                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 2.5172,                  2.086,                 1.4224,                0.08744,                 0.1103,                0.06932,                0.02518,                  2.661,                 2.2692,                  1.413,             0.00017708,             0.00017708,             0.00017708
                     69,                 2.4926,                 2.0828,                 1.4308,                 0.1168,                0.10312,                0.06519,                0.02495,                 2.6336,                 2.2404,                 1.3868,             0.00017578,             0.00017578,             0.00017578
                     70,                 2.5131,                 2.0969,                 1.4253,                0.08345,                0.11908,                0.06651,                 0.0278,                 2.5829,                 2.2379,                  1.366,             0.00017447,             0.00017447,             0.00017447
                     71,                 2.5023,                 2.0708,                  1.407,                0.16872,                0.09071,                0.07068,                 0.0284,                 2.6337,                 2.1842,                 1.3884,             0.00017317,             0.00017317,             0.00017317
                     72,                 2.4896,                 2.0591,                 1.4104,                0.15815,                0.12162,                0.06775,                0.02697,                 2.5841,                  2.224,                 1.3765,             0.00017187,             0.00017187,             0.00017187
                     73,                 2.5279,                 2.0703,                 1.4196,                0.09089,                 0.1116,                0.07096,                0.02685,                 2.6262,                 2.2142,                 1.3763,             0.00017057,             0.00017057,             0.00017057
                     74,                  2.459,                  2.011,                 1.3914,                0.10461,                0.11638,                0.07694,                0.02848,                 2.6627,                 2.1961,                 1.3853,             0.00016927,             0.00016927,             0.00016927
                     75,                 2.4692,                 2.0462,                 1.4066,                0.04613,                0.12474,                0.07155,                0.02801,                 2.5769,                 2.1869,                 1.3644,             0.00016796,             0.00016796,             0.00016796
                     76,                 2.4693,                 2.0238,                 1.4039,                0.08099,                0.13385,                0.06675,                 0.0278,                 2.5405,                 2.1555,                 1.3408,             0.00016666,             0.00016666,             0.00016666
                     77,                 2.4557,                 1.9987,                 1.3909,                0.04572,                0.13651,                0.06869,                0.02871,                 2.5823,                 2.2652,                 1.3623,             0.00016536,             0.00016536,             0.00016536
                     78,                 2.4495,                 1.9907,                 1.3893,                0.05326,                0.13339,                0.07049,                0.02626,                 2.6322,                 2.2016,                 1.3813,             0.00016406,             0.00016406,             0.00016406
                     79,                 2.4285,                 1.9787,                 1.3695,                0.19415,                0.11537,                0.07015,                0.02604,                 2.5954,                 2.1753,                 1.3739,             0.00016276,             0.00016276,             0.00016276
                     80,                 2.4613,                 2.0017,                 1.3823,                0.14074,                0.12591,                0.07475,                0.03087,                 2.6031,                 2.2434,                 1.3486,             0.00016146,             0.00016146,             0.00016146
                     81,                 2.4558,                  2.025,                 1.3871,                0.06439,                 0.1244,                 0.0816,                0.03149,                 2.6303,                 2.1854,                 1.3608,             0.00016015,             0.00016015,             0.00016015
                     82,                 2.4443,                 1.9951,                 1.3723,                0.18589,                0.09986,                0.07953,                0.03277,                 2.5768,                 2.1723,                 1.3487,             0.00015885,             0.00015885,             0.00015885
                     83,                   2.44,                 2.0064,                 1.3787,                0.09805,                  0.134,                0.07273,                0.03159,                 2.5734,                  2.133,                 1.3466,             0.00015755,             0.00015755,             0.00015755
                     84,                 2.4249,                 1.9896,                 1.3609,                0.09221,                0.13034,                0.07228,                0.03157,                 2.5429,                 2.1798,                 1.3387,             0.00015625,             0.00015625,             0.00015625
                     85,                 2.3778,                 1.9867,                 1.3662,                0.23813,                 0.1068,                0.06885,                 0.0292,                 2.5547,                 2.1565,                 1.3382,             0.00015495,             0.00015495,             0.00015495
                     86,                  2.394,                 1.9638,                 1.3654,                0.12516,                0.10484,                0.06829,                0.02762,                 2.6486,                 2.2175,                 1.3717,             0.00015364,             0.00015364,             0.00015364
                     87,                 2.4811,                 2.0211,                 1.3727,                0.31907,                0.08726,                0.07525,                0.03156,                 2.5817,                 2.1562,                 1.3402,             0.00015234,             0.00015234,             0.00015234
                     88,                 2.3943,                 1.9864,                 1.3672,                0.24538,                0.09784,                 0.0804,                0.03322,                 2.5793,                 2.1723,                 1.3529,             0.00015104,             0.00015104,             0.00015104
                     89,                  2.424,                 1.9612,                 1.3604,                0.17788,                0.11776,                0.08435,                0.03574,                 2.5308,                 2.1073,                 1.3344,             0.00014974,             0.00014974,             0.00014974
                     90,                  2.411,                 1.9286,                 1.3551,                0.16019,                0.10629,                0.08353,                0.03364,                 2.6204,                 2.1487,                 1.3728,             0.00014844,             0.00014844,             0.00014844
                     91,                 2.4223,                 1.9654,                 1.3693,                0.27454,                0.08493,                0.07277,                0.03057,                 2.5377,                 2.1284,                 1.3433,             0.00014714,             0.00014714,             0.00014714
